"Cycle","Well","RFU","Replicate","Sample"
"95",22.1666666666667,"A5",4216.43676711267,"1","H"
"96",22.8,"A5",4708.41584298799,"1","H"
"97",23.4333333333333,"A5",5256.27396841119,"1","H"
"98",24.0666666666667,"A5",5840.36366125154,"1","H"
"99",24.7,"A5",6419.47044038225,"1","H"
"100",25.3333333333333,"A5",6915.78405206415,"1","H"
"101",25.9666666666667,"A5",7396.82003366125,"1","H"
"102",26.6,"A5",7819.65375472581,"1","H"
"103",27.2333333333333,"A5",8157.27027411971,"1","H"
"104",27.8666666666667,"A5",8372.10716394008,"1","H"
"105",28.5,"A5",8496.28001313951,"1","H"
"106",29.1333333333333,"A5",8532.73262083362,"1","H"
"107",29.7666666666667,"A5",8518.08302073692,"1","H"
"108",30.4,"A5",8473.32491144669,"1","H"
"109",31.0333333333333,"A5",8440.09552837927,"1","H"
"110",31.6666666666667,"A5",8408.84835071622,"1","H"
"111",32.3,"A5",8382.5401421449,"1","H"
"112",32.9333333333333,"A5",8351.552001581,"1","H"
"113",33.5666666666667,"A5",8333.1723861687,"1","H"
"114",34.2,"A5",8309.69803773173,"1","H"
"115",34.8333333333333,"A5",8298.91021599861,"1","H"
"116",35.4666666666667,"A5",8286.3562796838,"1","H"
"117",36.1,"A5",8268.34641014828,"1","H"
"118",36.7333333333333,"A5",8256.17267901854,"1","H"
"119",37.3666666666667,"A5",8244.50764513944,"1","H"
"120",38,"A5",8237.2013177333,"1","H"
"121",0.633333333333333,"A6",2774.99538448248,"1","G"
"122",1.26666666666667,"A6",2771.97334843638,"1","G"
"123",1.9,"A6",2767.78439921473,"1","G"
"124",2.53333333333333,"A6",2741.65726806752,"1","G"
"125",3.16666666666667,"A6",2723.08340191389,"1","G"
"126",3.8,"A6",2743.83769751678,"1","G"
"127",4.43333333333333,"A6",2773.69669310784,"1","G"
"128",5.06666666666667,"A6",2822.37810162797,"1","G"
"129",5.7,"A6",2844.62979149503,"1","G"
"130",6.33333333333333,"A6",2854.58601355773,"1","G"
"131",6.96666666666667,"A6",2867.97154954297,"1","G"
"132",7.6,"A6",2877.44274426338,"1","G"
"133",8.23333333333333,"A6",2893.62681489387,"1","G"
"134",8.86666666666667,"A6",2895.30783679322,"1","G"
"135",9.5,"A6",2895.37388825541,"1","G"
"136",10.1333333333333,"A6",2899.893299804,"1","G"
"137",10.7666666666667,"A6",2902.71546552167,"1","G"
"138",11.4,"A6",2915.57699391291,"1","G"
"139",12.0333333333333,"A6",2935.21510657247,"1","G"
"140",12.6666666666667,"A6",2967.1615908977,"1","G"
"141",13.3,"A6",3016.52706479005,"1","G"
"142",13.9333333333333,"A6",3083.87403712236,"1","G"
"143",14.5666666666667,"A6",3186.18969356788,"1","G"
"144",15.2,"A6",3342.07364087365,"1","G"
"145",15.8333333333333,"A6",3590.8397266771,"1","G"
"146",16.4666666666667,"A6",4049.8737468597,"1","G"
"147",17.1,"A6",5271.90549784321,"1","G"
"148",17.7333333333333,"A6",6164.46353732785,"1","G"
"149",18.3666666666667,"A6",6867.16725110448,"1","G"
"150",19,"A6",7460.85680438807,"1","G"
"151",19.6333333333333,"A6",7906.74170894824,"1","G"
"152",20.2666666666667,"A6",8243.23028071753,"1","G"
"153",20.9,"A6",8515.89266649555,"1","G"
"154",21.5333333333333,"A6",8685.3324594726,"1","G"
"155",22.1666666666667,"A6",8795.33178605484,"1","G"
"156",22.8,"A6",8882.7780724181,"1","G"
"157",23.4333333333333,"A6",8939.66909861178,"1","G"
"158",24.0666666666667,"A6",8976.67692621761,"1","G"
"159",24.7,"A6",8983.13632284397,"1","G"
"160",25.3333333333333,"A6",8961.99985494325,"1","G"
"161",25.9666666666667,"A6",8937.01631590155,"1","G"
"162",26.6,"A6",8906.72766999049,"1","G"
"163",27.2333333333333,"A6",8883.34255650088,"1","G"
